Country,date,vaccine,total_vaccinations
France,2021/5/5,Oxford/AstraZeneca,4096695
France,2021/5/5,Pfizer/BioNTech,18082664
France,2021/5/6,Johnson&Johnson,95155
France,2021/5/6,Moderna,2086719
France,2021/5/6,Oxford/AstraZeneca,4151934
France,2021/5/6,Pfizer/BioNTech,18573630
France,2021/5/7,Johnson&Johnson,114180
France,2021/5/7,Moderna,2145050
France,2021/5/7,Oxford/AstraZeneca,4224305
France,2021/5/7,Pfizer/BioNTech,19051985
France,2021/5/8,Johnson&Johnson,116500
France,2021/5/8,Moderna,2175910
France,2021/5/8,Oxford/AstraZeneca,4239807
France,2021/5/8,Pfizer/BioNTech,19291036
France,2021/5/9,Johnson&Johnson,117155
France,2021/5/9,Moderna,2196881
France,2021/5/9,Oxford/AstraZeneca,4244149
France,2021/5/9,Pfizer/BioNTech,19440769
France,2021/5/10,Johnson&Johnson,124329
France,2021/5/10,Moderna,2251746
France,2021/5/10,Oxford/AstraZeneca,4271454
France,2021/5/10,Pfizer/BioNTech,19890072
France,2021/5/11,Johnson&Johnson,138568
France,2021/5/11,Moderna,2316126
France,2021/5/11,Oxford/AstraZeneca,4324011
France,2021/5/11,Pfizer/BioNTech,20418722
France,2021/5/12,Johnson&Johnson,148671
France,2021/5/12,Moderna,2385771
France,2021/5/12,Oxford/AstraZeneca,4368522
France,2021/5/12,Pfizer/BioNTech,20958867
France,2021/5/13,Johnson&Johnson,150187
France,2021/5/13,Moderna,2442535
France,2021/5/13,Oxford/AstraZeneca,4374147
France,2021/5/13,Pfizer/BioNTech,21287736
France,2021/5/14,Johnson&Johnson,157856
France,2021/5/14,Moderna,2516550
France,2021/5/14,Oxford/AstraZeneca,4414230
France,2021/5/14,Pfizer/BioNTech,21784714
France,2021/5/15,Johnson&Johnson,161520
France,2021/5/15,Moderna,2589298
France,2021/5/15,Oxford/AstraZeneca,4442040
France,2021/5/15,Pfizer/BioNTech,22146308
France,2021/5/16,Johnson&Johnson,161911
France,2021/5/16,Moderna,2635198
France,2021/5/16,Oxford/AstraZeneca,4445604
France,2021/5/16,Pfizer/BioNTech,22318774
France,2021/5/17,Johnson&Johnson,166306
France,2021/5/17,Moderna,2692276
France,2021/5/17,Oxford/AstraZeneca,4473251
France,2021/5/17,Pfizer/BioNTech,22752929
France,2021/5/18,Johnson&Johnson,174990
France,2021/5/18,Moderna,2758886
France,2021/5/18,Oxford/AstraZeneca,4516060
France,2021/5/18,Pfizer/BioNTech,23245131
France,2021/5/19,Johnson&Johnson,180596
France,2021/5/19,Moderna,2826427
France,2021/5/19,Oxford/AstraZeneca,4556948
France,2021/5/19,Pfizer/BioNTech,23742117
France,2021/5/20,Johnson&Johnson,189940
France,2021/5/20,Moderna,2900470
France,2021/5/20,Oxford/AstraZeneca,4622719
France,2021/5/20,Pfizer/BioNTech,24258344
France,2021/5/21,Johnson&Johnson,202632
France,2021/5/21,Moderna,2976161
France,2021/5/21,Oxford/AstraZeneca,4700785
France,2021/5/21,Pfizer/BioNTech,24753875
France,2021/5/22,Johnson&Johnson,207620
France,2021/5/22,Moderna,3041909
