,location,date,vaccine,total_vaccinations
16229,European Union,2021/2/13,Sinopharm/Beijing,0
16230,European Union,2021/2/13,Sputnik V,2385
16231,European Union,2021/2/14,Johnson&Johnson,74
16232,European Union,2021/2/14,Moderna,647804
16233,European Union,2021/2/14,Oxford/AstraZeneca,313635
16234,European Union,2021/2/14,Pfizer/BioNTech,21310878
16235,European Union,2021/2/14,Sinopharm/Beijing,0
16236,European Union,2021/2/14,Sputnik V,2385
16237,European Union,2021/2/15,Johnson&Johnson,85
16238,European Union,2021/2/15,Moderna,668460
16239,European Union,2021/2/15,Oxford/AstraZeneca,354651
16240,European Union,2021/2/15,Pfizer/BioNTech,21605470
16241,European Union,2021/2/15,Sinopharm/Beijing,0
16242,European Union,2021/2/15,Sputnik V,2385
16243,European Union,2021/2/16,Johnson&Johnson,86
16244,European Union,2021/2/16,Moderna,696124
16245,European Union,2021/2/16,Oxford/AstraZeneca,405175
16246,European Union,2021/2/16,Pfizer/BioNTech,21940683
16247,European Union,2021/2/16,Sinopharm/Beijing,0
16248,European Union,2021/2/16,Sputnik V,2385
16249,European Union,2021/2/17,Johnson&Johnson,87
16250,European Union,2021/2/17,Moderna,728824
16251,European Union,2021/2/17,Oxford/AstraZeneca,462997
16252,European Union,2021/2/17,Pfizer/BioNTech,22298529
16253,European Union,2021/2/17,Sinopharm/Beijing,0
16254,European Union,2021/2/17,Sputnik V,2385
16255,European Union,2021/2/18,Johnson&Johnson,92
16256,European Union,2021/2/18,Moderna,759642
16257,European Union,2021/2/18,Oxford/AstraZeneca,531402
16258,European Union,2021/2/18,Pfizer/BioNTech,22683511
16259,European Union,2021/2/18,Sinopharm/Beijing,0
16260,European Union,2021/2/18,Sputnik V,2385
16261,European Union,2021/2/19,Johnson&Johnson,95
16262,European Union,2021/2/19,Moderna,966891
16263,European Union,2021/2/19,Oxford/AstraZeneca,1169034
16264,European Union,2021/2/19,Pfizer/BioNTech,24900499
16265,European Union,2021/2/19,Sinopharm/Beijing,0
16266,European Union,2021/2/19,Sputnik V,18484
16267,European Union,2021/2/20,Johnson&Johnson,96
16268,European Union,2021/2/20,Moderna,981457
16269,European Union,2021/2/20,Oxford/AstraZeneca,1223537
16270,European Union,2021/2/20,Pfizer/BioNTech,25105845
16271,European Union,2021/2/20,Sinopharm/Beijing,0
16272,European Union,2021/2/20,Sputnik V,18484
16273,European Union,2021/2/21,Johnson&Johnson,97
16274,European Union,2021/2/21,Moderna,991118
16275,European Union,2021/2/21,Oxford/AstraZeneca,1259995
16276,European Union,2021/2/21,Pfizer/BioNTech,25237146
